id,name,type,start_date,distance_km,moving_time,moving_time_hms,avg_speed_kmh,kilojoules,map_summary_polyline,NM_UF,NM_MUN
18641495520,Evening Run,Run,2026-05-24 22:26:41,10.013,3612,1:00:12,9.979199999999999,990.4,,,
18627394367,Evening Run,Run,2026-05-23 22:04:59,5.013,3115,0:51:55,5.7924,483.8,,,
18626897572,Afternoon Run,Run,2026-05-23 19:51:55,0.911,101,0:01:41,32.472,22.9,,,
18626897690,Afternoon Run,Run,2026-05-23 19:35:58,7.219,933,0:15:33,27.8532,204.8,,,
18626897694,Afternoon Run,Run,2026-05-23 19:21:01,6.829,870,0:14:30,28.256400000000003,194.7,,,
18626897832,Evening Run,Run,2026-05-22 21:35:53,6.007,2165,0:36:05,9.99,697.1,,,
18626897579,Afternoon Weight Training,WeightTraining,2026-05-22 20:14:45,0.0,2323,0:38:43,0.0,0.0,,,
18626897574,Afternoon Run,Run,2026-05-22 20:10:11,0.25,190,0:03:10,4.7376000000000005,0.0,,,
18601559738,Evening Walk,Walk,2026-05-21 21:27:44,4.236,3370,0:56:10,4.5252,0.0,,,
18601559662,Afternoon Weight Training,WeightTraining,2026-05-21 20:44:49,0.0,2438,0:40:38,0.0,0.0,,,
18601559676,Afternoon Run,Run,2026-05-21 20:37:49,0.458,329,0:05:29,5.0112,0.0,,,
18601559672,Evening Workout,Workout,2026-05-20 23:20:29,0.0,3556,0:59:16,0.0,0.0,,,
18587924075,Afternoon Run,Run,2026-05-20 20:53:40,5.009,1635,0:27:15,11.0304,233.9,,,
18587923929,Morning Weight Training,WeightTraining,2026-05-20 10:16:40,0.0,2489,0:41:29,0.0,0.0,,,
18587923897,Morning Run,Run,2026-05-20 10:09:36,0.443,306,0:05:06,5.2128,0.0,,,
18574231124,Evening Run,Run,2026-05-19 21:02:21,6.006,2441,0:40:41,8.856,723.9,,,
18561154312,Evening Walk,Walk,2026-05-18 22:05:37,5.333,3057,0:50:57,6.282000000000001,0.0,,,
18539618355,Morning Run,Run,2026-05-17 09:06:06,4.882,1454,0:24:14,12.0888,513.0,,,
18534298193,Afternoon Run,Run,2026-05-16 18:42:56,5.518,3724,1:02:04,5.3352,0.0,,,
18521485741,Evening Run,Run,2026-05-15 21:04:30,4.101100000000001,1481,0:24:41,9.9684,450.1,dmoKnpeaHyA?k@EsGgBq@IKDMR]nACLBHNLvCvAfCtAZL`@HVDxC@dCInFW`CWPEDE@Kg@{CIIMAiPTk@?g@IoGeBg@GODO\Wv@CV?HDD|@f@lB|@lCvAh@N`@DfCBr@?`CIvDU~C[FAFG?Mg@uCGKGCyA?oDHoIHq@K_Cq@iDy@S?EDIN_@rAALBFNJrCrAbAl@dBz@v@NhCB|@AxBI,Pará,Mãe do Rio
18509889518,Evening Walk,Walk,2026-05-14 22:13:15,0.5739,525,0:08:45,3.9348,0.0,,,
18509889776,Evening Run,Run,2026-05-14 21:41:21,4.0091,1576,0:26:16,9.1584,482.7,bmoKjpeaHw@@_AC}Ac@_@ADDFAAEc@ScCo@q@GKBMR_@pACTDJPN~GnD\Ll@HvCD|BGvEStBU`AULK?U]_CKUSGoQTu@IqEqAgBYKDIP_@pAC^`@TnFnC`@Th@Pl@HpBBlBCrGWhA[|AOFCDGAMa@oCEGKGSBAEe@?iEHiHFs@?k@IsCy@{Co@`ATjFzA\F~@BhCC,Pará,Mãe do Rio
18496198329,Afternoon Run,Run,2026-05-13 20:50:53,4.882,1655,0:27:35,10.620000000000001,536.2,ln_LnfhaH}CC_CBiEIi@BKDKZIdBQn@]fAMp@EhAHhDARKFU@aD@kDO}@EMDGXWnDYzCE~@BLFDNBbADfILzAAbCDbHEnHHpA?`@BNHRXXfFJv@Lj@lB~DtAtBRRNBT?b@MxBa@pCm@`@EtEHrCHZ?LCXUr@cAZo@p@mCRoAj@_C~@oCr@iB`@sArDqKVaAXm@|@mCZw@V_A@IAIKGOEcAA{F?yMG}I?mDE_C?,Pará,Aurora do Pará
18496198216,Morning Weight Training,WeightTraining,2026-05-13 10:12:55,0.0,2280,0:38:00,0.0,0.0,,,
18496198228,Morning Run,Run,2026-05-13 10:06:03,0.435,325,0:05:25,4.816800000000001,0.0,,,
18483564539,Evening Run,Run,2026-05-12 21:12:29,5.0058,1713,0:28:33,10.519200000000001,548.3,|loKjpeaH}@@m@Ci@KsF{Au@IKDEFa@rAERDJ`@XlAj@zDrBd@PZFnCDvAAvCQpBC`Ee@FABE?KWsAMaAGMSEyIPsFDo@GeGeB_@IOAQDQRWt@C`@@HJR^XrG`D^Lj@FrDBtH_@vCY\KDEBG?GOe@WmBKKME[Ay@FyEFeHF_@Ee@KeCw@uAYeAQQHQ\KZGl@DPJJr@b@xCxApAp@\Nj@LhB@bCAjDQ~AG~@Gn@SdAKHK?MYkAK{@EMMG[CuAFcGD{DFi@Ai@Gm@SmG{ArElAtAb@f@H_@En@D,Pará,Mãe do Rio
18482759335,Afternoon Weight Training,WeightTraining,2026-05-12 20:12:35,0.0,2598,0:43:18,0.0,0.0,,,
18482655660,Afternoon Ride,Ride,2026-05-12 20:06:51,0.018600000000000002,49,0:00:49,1.3644,0.0,,,
18469419384,Evening Run,Run,2026-05-11 21:15:11,4.0066999999999995,1341,0:22:21,10.7568,436.9,ploKljfaHiIeCqBq@iAYs@Im@M{GuBUEOAWLQBAXCXm@~B_BjEg@`Be@pASn@kA~Ci@fBe@`Ak@bBs@jBSr@iB~Es@|Be@lA]dAaAdCK^Gj@EDJFTHpBl@p@VvDbAbBj@tAZrBn@rCr@zBp@~@R~Bp@nA^`@PdB^fCr@b@P^HNSH]d@uE`@uEJw@F?EI@WHi@RcArAqEhCcHfBqFZu@,Pará,Mãe do Rio
18430123430,Afternoon Run,Run,2026-05-08 20:20:08,5.8114,2077,0:34:37,10.0728,650.4,xloKjpeaHmA@o@GaHmB]GQDOXW~@iAdDg@fBkBzFGj@@HFJTLbBd@RDx@DXF~@ZbBf@hGpBpF~Az@^b@\RLb@PpBj@Xd@r@X`A|@dB^r@RdChAnEbBjHdC~@Vl@VhFhBlDfAhGrBfAXfCz@R@b@Od@ENANDrBl@fMdEp@P|IxCtBj@lATvARtCNxHF~AApJHvPDpGFrQHPBNJPBvE@lBBFBBDBZId@_@`AGj@i@|A]`@uDrK,Pará,Mãe do Rio
